sample	prefix	sample_barcode	flowcell_barcode	lane	pop	ploidy	fq1	fq2
A2S-5	A2S-5_95_L1	A2S-5	HCKV7DRXX	L001	Schneeberg	2	data/fastq/A2S-5_95_L1_R1_001.fastq.gz	data/fastq/A2S-5_95_L1_R2_001.fastq.gz
A2S-5	A2S-5_95_L2	A2S-5	HCKV7DRXX	L002	Schneeberg	2	data/fastq/A2S-5_95_L2_R1_001.fastq.gz	data/fastq/A2S-5_95_L2_R2_001.fastq.gz
A2S-5	A2S-5_96_L1	A2S-5	HCLMHDRXX	L001	Schneeberg	2	data/fastq/A2S-5_96_L1_R1_001.fastq.gz	data/fastq/A2S-5_96_L1_R2_001.fastq.gz
A2S-5	A2S-5_96_L2	A2S-5	HCLMHDRXX	L002	Schneeberg	2	data/fastq/A2S-5_96_L2_R1_001.fastq.gz	data/fastq/A2S-5_96_L2_R2_001.fastq.gz
A2S-17	A2S-17_95_L1	A2S-17	HCKV7DRXX	L001	Schneeberg	2	data/fastq/A2S-17_95_L1_R1_001.fastq.gz	data/fastq/A2S-17_95_L1_R2_001.fastq.gz
A2S-17	A2S-17_95_L2	A2S-17	HCKV7DRXX	L002	Schneeberg	2	data/fastq/A2S-17_95_L2_R1_001.fastq.gz	data/fastq/A2S-17_95_L2_R2_001.fastq.gz
A2S-17	A2S-17_96_L1	A2S-17	HCLMHDRXX	L001	Schneeberg	2	data/fastq/A2S-17_96_L1_R1_001.fastq.gz	data/fastq/A2S-17_96_L1_R2_001.fastq.gz
A2S-17	A2S-17_96_L2	A2S-17	HCLMHDRXX	L002	Schneeberg	2	data/fastq/A2S-17_96_L2_R1_001.fastq.gz	data/fastq/A2S-17_96_L2_R2_001.fastq.gz
A2S-19	A2S-19_95_L1	A2S-19	HCKV7DRXX	L001	Schneeberg	2	data/fastq/A2S-19_95_L1_R1_001.fastq.gz	data/fastq/A2S-19_95_L1_R2_001.fastq.gz
A2S-19	A2S-19_95_L2	A2S-19	HCKV7DRXX	L002	Schneeberg	2	data/fastq/A2S-19_95_L2_R1_001.fastq.gz	data/fastq/A2S-19_95_L2_R2_001.fastq.gz
A2S-19	A2S-19_96_L1	A2S-19	HCLMHDRXX	L001	Schneeberg	2	data/fastq/A2S-19_96_L1_R1_001.fastq.gz	data/fastq/A2S-19_96_L1_R2_001.fastq.gz
A2S-19	A2S-19_96_L2	A2S-19	HCLMHDRXX	L002	Schneeberg	2	data/fastq/A2S-19_96_L2_R1_001.fastq.gz	data/fastq/A2S-19_96_L2_R2_001.fastq.gz
A2S-16	A2S-16_95_L1	A2S-16	HCKV7DRXX	L001	Schneeberg	2	data/fastq/A2S-16_95_L1_R1_001.fastq.gz	data/fastq/A2S-16_95_L1_R2_001.fastq.gz
A2S-16	A2S-16_95_L2	A2S-16	HCKV7DRXX	L002	Schneeberg	2	data/fastq/A2S-16_95_L2_R1_001.fastq.gz	data/fastq/A2S-16_95_L2_R2_001.fastq.gz
A2S-16	A2S-16_96_L1	A2S-16	HCLMHDRXX	L001	Schneeberg	2	data/fastq/A2S-16_96_L1_R1_001.fastq.gz	data/fastq/A2S-16_96_L1_R2_001.fastq.gz
A2S-16	A2S-16_96_L2	A2S-16	HCLMHDRXX	L002	Schneeberg	2	data/fastq/A2S-16_96_L2_R1_001.fastq.gz	data/fastq/A2S-16_96_L2_R2_001.fastq.gz
RCB-B17	RCB-B17_95_L1	RCB-B17	HCKV7DRXX	L001	RCB	2	data/fastq/RCB-B17_95_L1_R1_001.fastq.gz	data/fastq/RCB-B17_95_L1_R2_001.fastq.gz
RCB-B17	RCB-B17_95_L2	RCB-B17	HCKV7DRXX	L002	RCB	2	data/fastq/RCB-B17_95_L2_R1_001.fastq.gz	data/fastq/RCB-B17_95_L2_R2_001.fastq.gz
RCB-B17	RCB-B17_96_L1	RCB-B17	HCLMHDRXX	L001	RCB	2	data/fastq/RCB-B17_96_L1_R1_001.fastq.gz	data/fastq/RCB-B17_96_L1_R2_001.fastq.gz
RCB-B17	RCB-B17_96_L2	RCB-B17	HCLMHDRXX	L002	RCB	2	data/fastq/RCB-B17_96_L2_R1_001.fastq.gz	data/fastq/RCB-B17_96_L2_R2_001.fastq.gz
RCB-C8	RCB-C8_95_L1	RCB-C8	HCKV7DRXX	L001	RCB	2	data/fastq/RCB-C8_95_L1_R1_001.fastq.gz	data/fastq/RCB-C8_95_L1_R2_001.fastq.gz
RCB-C8	RCB-C8_95_L2	RCB-C8	HCKV7DRXX	L002	RCB	2	data/fastq/RCB-C8_95_L2_R1_001.fastq.gz	data/fastq/RCB-C8_95_L2_R2_001.fastq.gz
RCB-C8	RCB-C8_96_L1	RCB-C8	HCLMHDRXX	L001	RCB	2	data/fastq/RCB-C8_96_L1_R1_001.fastq.gz	data/fastq/RCB-C8_96_L1_R2_001.fastq.gz
RCB-C8	RCB-C8_96_L2	RCB-C8	HCLMHDRXX	L002	RCB	2	data/fastq/RCB-C8_96_L2_R1_001.fastq.gz	data/fastq/RCB-C8_96_L2_R2_001.fastq.gz
RCB-B15	RCB-B15_95_L1	RCB-B15	HCKV7DRXX	L001	RCB	2	data/fastq/RCB-B15_95_L1_R1_001.fastq.gz	data/fastq/RCB-B15_95_L1_R2_001.fastq.gz
RCB-B15	RCB-B15_95_L2	RCB-B15	HCKV7DRXX	L002	RCB	2	data/fastq/RCB-B15_95_L2_R1_001.fastq.gz	data/fastq/RCB-B15_95_L2_R2_001.fastq.gz
RCB-B15	RCB-B15_96_L1	RCB-B15	HCLMHDRXX	L001	RCB	2	data/fastq/RCB-B15_96_L1_R1_001.fastq.gz	data/fastq/RCB-B15_96_L1_R2_001.fastq.gz
RCB-B15	RCB-B15_96_L2	RCB-B15	HCLMHDRXX	L002	RCB	2	data/fastq/RCB-B15_96_L2_R1_001.fastq.gz	data/fastq/RCB-B15_96_L2_R2_001.fastq.gz
V2B-A4	V2B-A4_95_L1	V2B-A4	HCKV7DRXX	L001	Beuron	2	data/fastq/V2B-A4_95_L1_R1_001.fastq.gz	data/fastq/V2B-A4_95_L1_R2_001.fastq.gz
V2B-A4	V2B-A4_95_L2	V2B-A4	HCKV7DRXX	L002	Beuron	2	data/fastq/V2B-A4_95_L2_R1_001.fastq.gz	data/fastq/V2B-A4_95_L2_R2_001.fastq.gz
V2B-A4	V2B-A4_96_L1	V2B-A4	HCLMHDRXX	L001	Beuron	2	data/fastq/V2B-A4_96_L1_R1_001.fastq.gz	data/fastq/V2B-A4_96_L1_R2_001.fastq.gz
V2B-A4	V2B-A4_96_L2	V2B-A4	HCLMHDRXX	L002	Beuron	2	data/fastq/V2B-A4_96_L2_R1_001.fastq.gz	data/fastq/V2B-A4_96_L2_R2_001.fastq.gz
V2B-11	V2B-11_95_L1	V2B-11	HCKV7DRXX	L001	Beuron	2	data/fastq/V2B-11_95_L1_R1_001.fastq.gz	data/fastq/V2B-11_95_L1_R2_001.fastq.gz
V2B-11	V2B-11_95_L2	V2B-11	HCKV7DRXX	L002	Beuron	2	data/fastq/V2B-11_95_L2_R1_001.fastq.gz	data/fastq/V2B-11_95_L2_R2_001.fastq.gz
V2B-11	V2B-11_96_L1	V2B-11	HCLMHDRXX	L001	Beuron	2	data/fastq/V2B-11_96_L1_R1_001.fastq.gz	data/fastq/V2B-11_96_L1_R2_001.fastq.gz
V2B-11	V2B-11_96_L2	V2B-11	HCLMHDRXX	L002	Beuron	2	data/fastq/V2B-11_96_L2_R1_001.fastq.gz	data/fastq/V2B-11_96_L2_R2_001.fastq.gz
A2G-B17	A2G-B17_95_L1	A2G-B17	HCKV7DRXX	L001	Gainfarn	2	data/fastq/A2G-B17_95_L1_R1_001.fastq.gz	data/fastq/A2G-B17_95_L1_R2_001.fastq.gz
A2G-B17	A2G-B17_95_L2	A2G-B17	HCKV7DRXX	L002	Gainfarn	2	data/fastq/A2G-B17_95_L2_R1_001.fastq.gz	data/fastq/A2G-B17_95_L2_R2_001.fastq.gz
A2G-B17	A2G-B17_96_L1	A2G-B17	HCLMHDRXX	L001	Gainfarn	2	data/fastq/A2G-B17_96_L1_R1_001.fastq.gz	data/fastq/A2G-B17_96_L1_R2_001.fastq.gz
A2G-B17	A2G-B17_96_L2	A2G-B17	HCLMHDRXX	L002	Gainfarn	2	data/fastq/A2G-B17_96_L2_R1_001.fastq.gz	data/fastq/A2G-B17_96_L2_R2_001.fastq.gz
A2G-B17	A2G-B17_seq2_L2	A2G-B17	HJ3TTDRXX	L002	Gainfarn	2	data/fastq/A2G-B17_seq2_L2_R1_001.fastq.gz	data/fastq/A2G-B17_seq2_L2_R2_001.fastq.gz
K2S2-3	K2S2-3_95_L1	K2S2-3	HCKV7DRXX	L001	S2_S2-1	2	data/fastq/K2S2-3_95_L1_R1_001.fastq.gz	data/fastq/K2S2-3_95_L1_R2_001.fastq.gz
K2S2-3	K2S2-3_95_L2	K2S2-3	HCKV7DRXX	L002	S2_S2-1	2	data/fastq/K2S2-3_95_L2_R1_001.fastq.gz	data/fastq/K2S2-3_95_L2_R2_001.fastq.gz
K2S2-3	K2S2-3_96_L1	K2S2-3	HCLMHDRXX	L001	S2_S2-1	2	data/fastq/K2S2-3_96_L1_R1_001.fastq.gz	data/fastq/K2S2-3_96_L1_R2_001.fastq.gz
