sample	prefix	sample_barcode	lane	ploidy	fq1	fq2	pop	elevation
RAM-18	RAM18_L2	RAM-18	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM18_L2_R1_001_Ff0beuSH9qaj.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM18_L2_R2_001_JIXC7FadPpnI.fastq.gz	TRA	high
RAM-1	RAM1_L1	RAM-1	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM1_L1_R1_001_JcMhlJ0Gfri5.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM1_L1_R2_001_xACNu3jEf8RH.fastq.gz	TRA	high
RAM-1	RAM1_L2	RAM-1	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM1_L2_R1_001_r0I4SBcNTjRi.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM1_L2_R2_001_tbdTQpoBbHSY.fastq.gz	TRA	high
RAM-20	RAM20_L1	RAM-20	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM20_L1_R1_001_4WHn0U4CIk7y.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM20_L1_R2_001_4OuEuGbhvTas.fastq.gz	TRA	high
RAM-20	RAM20_L2	RAM-20	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM20_L2_R1_001_nOC7kV12sSxN.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM20_L2_R2_001_Vy5EmyMwOyuk.fastq.gz	TRA	high
RAM-3	RAM3_L1	RAM-3	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM3_L1_R1_001_UPUSfeINXj1e.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM3_L1_R2_001_edVu8cgP4v7c.fastq.gz	TRA	high
RAM-3	RAM3_L2	RAM-3	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM3_L2_R1_001_vLgkACXdN8XK.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM3_L2_R2_001_5aefeykD5Ju4.fastq.gz	TRA	high
RAM-7	RAM7_L1	RAM-7	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM7_L1_R1_001_Y8PSaNJz8xGk.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM7_L1_R2_001_rZXycIUgMr7y.fastq.gz	TRA	high
RAM-7	RAM7_L2	RAM-7	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM7_L2_R1_001_9nQzc0mweD1u.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/RAM7_L2_R2_001_NELxWzQxWNnz.fastq.gz	TRA	high
s3-11	S311_L1	s3-11	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S311_L1_R1_001_HJTCElIei9ei.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S311_L1_R2_001_cgppTCFTT4eP.fastq.gz	TDS	high
s3-11	S311_L2	s3-11	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S311_L2_R1_001_2WSSKmlyebWF.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S311_L2_R2_001_g7rKKcnY6SwI.fastq.gz	TDS	high
s3-12	S312_seq2_L1	s3-12	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S312_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S312_seq2_L1_R2_001.fastq.gz	TDS	high
s3-12	S312_L1	s3-12	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S312_L1_R1_001_cOJ7k84Omud2.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S312_L1_R2_001_oRFMKnHumBrQ.fastq.gz	TDS	high
s3-12	S312_L2	s3-12	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S312_L2_R1_001_mIzIAkmxklQ3.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S312_L2_R2_001_W8yOV5tJmNoO.fastq.gz	TDS	high
s3-12	S312_seq2_L2	s3-12	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S312_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S312_seq2_L2_R2_001.fastq.gz	TDS	high
s3-13	S313_L1	s3-13	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S313_L1_R1_001_XifDwm9NaBQP.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S313_L1_R2_001_0i6sxVTdAzuD.fastq.gz	TDS	high
s3-13	S313_seq2_L1	s3-13	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S313_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S313_seq2_L1_R2_001.fastq.gz	TDS	high
s3-13	S313_L2	s3-13	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S313_L2_R1_001_CwLYCWeTdYc8.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S313_L2_R2_001_z0kCK8vacOAP.fastq.gz	TDS	high
s3-13	S313_seq2_L2	s3-13	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S313_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S313_seq2_L2_R2_001.fastq.gz	TDS	high
s3-3	S33_L1	s3-3	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S33_L1_R1_001_Uwf5em1vQ8dL.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S33_L1_R2_001_h4SflWr59YWu.fastq.gz	TDS	high
s3-3	S33_L2	s3-3	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S33_L2_R1_001_1pNlBCG3tdTt.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S33_L2_R2_001_IG3aEt1nlIBD.fastq.gz	TDS	high
s3-5	S35_L1	s3-5	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S35_L1_R1_001_hqCHoR1hExTu.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S35_L1_R2_001_1vSM9Np6IhXe.fastq.gz	TDS	high
s3-5	S35_L2	s3-5	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S35_L2_R1_001_2oHIjjNfuT9w.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S35_L2_R2_001_DKcw5gb6CoR5.fastq.gz	TDS	high
s3-6	S36_L1	s3-6	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S36_L1_R1_001_I93RWswbHwQW.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S36_L1_R2_001_uMaCZ7bMxAki.fastq.gz	TDS	high
s3-6	S36_L2	s3-6	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S36_L2_R1_001_sQJuOYfvQ9Y8.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S36_L2_R2_001_7JZM9Xui2H6Z.fastq.gz	TDS	high
s3-7	S37_L1	s3-7	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S37_L1_R1_001_rmqVfQQ3LBm3.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S37_L1_R2_001_ZrLG46DHDXwV.fastq.gz	TDS	high
s3-7	S37_L2	s3-7	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S37_L2_R1_001_pEqaLzLWP0Cl.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S37_L2_R2_001_W207GfvEUPPc.fastq.gz	TDS	high
s3-8	S38_seq2_L1	s3-8	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S38_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S38_seq2_L1_R2_001.fastq.gz	TDS	high
s3-8	S38_L1	s3-8	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S38_L1_R1_001_z8nvz1h0GmEh.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S38_L1_R2_001_jkgJc3e2qbJt.fastq.gz	TDS	high
s3-8	S38_L2	s3-8	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S38_L2_R1_001_laP3QQQdzIdu.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S38_L2_R2_001_WSpiqFSUky23.fastq.gz	TDS	high
s3-8	S38_seq2_L2	s3-8	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S38_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/S38_seq2_L2_R2_001.fastq.gz	TDS	high
FUL-10	FUL10_seq2_L1	FUL-10	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL10_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL10_seq2_L1_R2_001.fastq.gz	TFU	low
FUL-10	FUL10_L1	FUL-10	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL10_L1_R1_001_GPGphzIPyz8r.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL10_L1_R2_001_GfD6VFk5OKsL.fastq.gz	TFU	low
FUL-10	FUL10_L2	FUL-10	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL10_L2_R1_001_6RdJCrXAdagI.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL10_L2_R2_001_bIzEigG7nyKR.fastq.gz	TFU	low
FUL-10	FUL10_seq2_L2	FUL-10	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL10_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL10_seq2_L2_R2_001.fastq.gz	TFU	low
FUL-11	FUL11_L1	FUL-11	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL11_L1_R1_001_FXhhVcJ7xSXt.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL11_L1_R2_001_XRtASo792yr2.fastq.gz	TFU	low
FUL-11	FUL11_L2	FUL-11	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL11_L2_R1_001_1Dq2bzhuFyrj.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL11_L2_R2_001_RGAEVVWci4kM.fastq.gz	TFU	low
FUL-14	FUL14_L1	FUL-14	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL14_L1_R1_001_6ewWYyRD9om9.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL14_L1_R2_001_NSIXdSkJuw8W.fastq.gz	TFU	low
FUL-14	FUL14_L2	FUL-14	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL14_L2_R1_001_VySX4aHwvcgY.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL14_L2_R2_001_lprlXdkg5yRY.fastq.gz	TFU	low
FUL-1	FUL1_L1	FUL-1	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL1_L1_R1_001_8yzPMpGboYou.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL1_L1_R2_001_MuViWOx0T6Ad.fastq.gz	TFU	low
FUL-1	FUL1_L2	FUL-1	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL1_L2_R1_001_32TW5rkDrAsZ.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL1_L2_R2_001_MFa8MxJUwEoR.fastq.gz	TFU	low
FUL-3	FUL3_seq2_L1	FUL-3	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL3_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL3_seq2_L1_R2_001.fastq.gz	TFU	low
FUL-3	FUL3_L1	FUL-3	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL3_L1_R1_001_mAxeiU4xUVmk.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL3_L1_R2_001_mvIqeQR1LriY.fastq.gz	TFU	low
FUL-3	FUL3_L2	FUL-3	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL3_L2_R1_001_YuDChJhyBXuC.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL3_L2_R2_001_uoMLdFaZsdTb.fastq.gz	TFU	low
FUL-3	FUL3_seq2_L2	FUL-3	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL3_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL3_seq2_L2_R2_001.fastq.gz	TFU	low
FUL-4	FUL4_L1	FUL-4	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL4_L1_R1_001_G95nXz8HX6iP.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL4_L1_R2_001_9dvBwIJixEkg.fastq.gz	TFU	low
FUL-4	FUL4_L2	FUL-4	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL4_L2_R1_001_mR79XO5uD8Bf.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL4_L2_R2_001_KwRYR9PeOnrb.fastq.gz	TFU	low
FUL-7	FUL7_L1	FUL-7	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL7_L1_R1_001_m0SQpn1ykpxQ.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL7_L1_R2_001_AsSXy04clcYd.fastq.gz	TFU	low
FUL-7	FUL7_seq2_L1	FUL-7	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL7_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL7_seq2_L1_R2_001.fastq.gz	TFU	low
FUL-7	FUL7_L2	FUL-7	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL7_L2_R1_001_nLnbopyhjIQz.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL7_L2_R2_001_dSKiUcJlBBMW.fastq.gz	TFU	low
FUL-7	FUL7_seq2_L2	FUL-7	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL7_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL7_seq2_L2_R2_001.fastq.gz	TFU	low
FUL-9	FUL9_seq2_L1	FUL-9	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL9_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL9_seq2_L1_R2_001.fastq.gz	TFU	low
FUL-9	FUL9_L1	FUL-9	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL9_L1_R1_001_m94D0IDnDURF.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL9_L1_R2_001_pGxEdgoyWqMI.fastq.gz	TFU	low
FUL-9	FUL9_L2	FUL-9	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL9_L2_R1_001_ii9BDBlikfLR.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL9_L2_R2_001_r68TIlDI3dXG.fastq.gz	TFU	low
FUL-9	FUL9_seq2_L2	FUL-9	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL9_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/FUL9_seq2_L2_R2_001.fastq.gz	TFU	low
