sample	prefix	sample_barcode	lane	ploidy	fq1	fq2	pop	elevation
BUC-18	BUC18_L1	BUC-18	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC18_L1_R1_001_u4nqvXaF1hfM.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC18_L1_R2_001_y3MgDeLkR0lU.fastq.gz	TBU	low
BUC-18	BUC18_L2	BUC-18	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC18_L2_R1_001_f1rvGaUe62Vo.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC18_L2_R2_001_xJ7uTsaxfKRh.fastq.gz	TBU	low
BUC-3	BUC3_L1	BUC-3	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC3_L1_R1_001_Pw2X5L6YjQO8.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC3_L1_R2_001_v78MHTzBlEnF.fastq.gz	TBU	low
BUC-3	BUC3_L2	BUC-3	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC3_L2_R1_001_pUFGZ3ea7fYI.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC3_L2_R2_001_wJWByuJllSIn.fastq.gz	TBU	low
BUC-5	BUC5_L1	BUC-5	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC5_L1_R1_001_3kbzPOBlGdoN.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC5_L1_R2_001_xjOgcjMwug9e.fastq.gz	TBU	low
BUC-5	BUC5_L2	BUC-5	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC5_L2_R1_001_wq7EB72HEzcm.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC5_L2_R2_001_oWivjByvDnMV.fastq.gz	TBU	low
BUC-7	BUC7_L1	BUC-7	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC7_L1_R1_001_Lb0je3Wganvt.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC7_L1_R2_001_c3yvZTbb6CX0.fastq.gz	TBU	low
BUC-7	BUC7_L2	BUC-7	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC7_L2_R1_001_rQ0hBL8V1M8R.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC7_L2_R2_001_P4ULmjwi3HCY.fastq.gz	TBU	low
BUC-9	BUC9_seq2_L1	BUC-9	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC9_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC9_seq2_L1_R2_001.fastq.gz	TBU	low
BUC-9	BUC9_L1	BUC-9	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC9_L1_R1_001_PMoG8fAk8LFK.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC9_L1_R2_001_irwPEGqZMChO.fastq.gz	TBU	low
